tag,method,path,operationId,auth,param_count,request_body,success_codes,summary,response_schemas
locks,GET,/api-v2/locks/groups,LockController_getAllLockGroups,Yes,0,,200,,200=>application/json:object
locks,POST,/api-v2/locks/login,LockController_login,Yes,0,application/json:SigninToLockGateway,201,,201=>application/json:object
locks,POST,/api-v2/locks/sync-locks,LockController_syncUserWithLockGroups,Yes,0,application/json:SyncUserWithLockGroups,201,,201=>application/json:object
locks,POST,/api-v2/locks/unlock-door,LockController_unlock,Yes,0,application/json:UnlockDoor,201,,201=>application/json:object
management-fee,GET,/api-v2/management_fee,ManagementFeeController_getAll,Yes,7,,200,,200=>application/json:object
management-fee,GET,/api-v2/management_fee/configuration,ManagementFeeController_getAllConfiguration,Yes,7,,200,,200=>application/json:object
management-fee,GET,/api-v2/management_fee/configuration/{id},ManagementFeeController_getConfigurationById,Yes,1,,200,,200=>application/json:object
management-fee,GET,/api-v2/management_fee/report,ManagementFeeController_getManagementFeeReport,Yes,3,,200,,200=>application/json:object
management-fee,POST,/api-v2/management_fee,ManagementFeeController_create,Yes,0,application/json:CreateManagementFeeValidation,201,,201=>application/json:object
management-fee,POST,/api-v2/management_fee/configuration,ManagementFeeController_createConfiguration,Yes,0,application/json:CreateManagementFeeConfigurationValidation,201,,201=>application/json:object
management-fee,DELETE,/api-v2/management_fee/configuration/{id},ManagementFeeController_deleteConfigurationById,Yes,1,,200,,200=>application/json:object
management-fee,DELETE,/api-v2/management_fee/{id},ManagementFeeController_deleteManagementFeeById,Yes,1,,200,,200=>application/json:object
members,GET,/api-v2/members,MemberController_index,Yes,7,,200,,200=>application/json:object
members,GET,/api-v2/members/get-payment-methods,MemberController_getMemberPaymentMethodsByEmail,Yes,1,,200,,200=>application/json:object
members,GET,/api-v2/members/outstanding-payment-report,MemberController_getOutstandingPaymentReport,Yes,3,,200,,200=>application/json:object
members,GET,/api-v2/members/tenant-autopay-off-report,MemberController_getTenantWhoAutopayOff,Yes,3,,200,,200=>application/json:object
members,GET,/api-v2/members/tenant-entry-report,MemberController_getTenantEntryReport,Yes,3,,200,,200=>application/json:object
members,GET,/api-v2/members/tenant-revenues-report,MemberController_getTenantRevenues,Yes,3,,200,,200=>application/json:object
members,POST,/api-v2/members/create-bulk-members,MemberController_createBulkMembers,Yes,0,application/json:CreateBulkMembersWithFileValidation,201,,201=>application/json:object
members,POST,/api-v2/members/send-email,MemberController_create,Yes,0,application/json:SendMemberAnEmailMessage,201,,201=>application/json:object
